Sample	d_pre_nokat_clock	group
CURTIS_H004744_T01_01_WG01	0.345733904780903	ER+ Typical
CURTIS_H004745_T01_01_WG01	0.716016885635619	ER+ Typical
CURTIS_H004745_T01_01_WG01	0.190065232028483	ER+ Typical
CURTIS_H004745_T01_01_WG01	0.287152196861866	ER+ Typical
CURTIS_H004751_T01_01_WG01	0.184653048198956	ER+ High
CURTIS_H004752_T01_01_WG01	0.325611423219257	ER+ High
CURTIS_H004755_T01_01_WG01	0.262478823238284	IC10
CURTIS_H004757_T01_01_WG01	0.551574565693625	IC10
CURTIS_H004757_T01_01_WG01	0	IC10
CURTIS_H004760_T01_01_WG01	0.456505959145156	ER+ High
CURTIS_H004761_T01_01_WG01	0.460325468955831	IC10
CURTIS_H004762_T01_01_WG01	0	ER+ Typical
CURTIS_H004763_T01_01_WG01	0.256304325799308	ER+ Typical
CURTIS_H004763_T01_01_WG01	0.183876662413692	ER+ Typical
CURTIS_H004768_T01_01_WG01	0.140022209731465	ER+ High
CURTIS_H004772_T01_01_WG01	0.272182952155307	ER+ High
CURTIS_H004776_T01_01_WG01	0.193412631527972	ER+ High
CURTIS_H004778_T01_01_WG01	0	ER+ Typical
